Country_Name,Indicator_Name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
France,"Intentional homicides, female (per 100,000 female)",,,1.159160054,0.853496882,0.775909923,0.671825989,0.784761625,0.58251478,0.683940904,
France,Battle-related deaths (number of people),,,3,,2,4,,,,
France,Voice and Accountability: Percentile Rank,89.67136383,89.65517426,89.65517426,85.22167206,85.7142868,86.89320374,85.50724792,81.64250946,85.50724792,85.99034119
France,Transport services (% of commercial service exports),18.12988278,17.64149529,16.43303708,15.58326747,16.80719171,15.50250386,15.69886718,17.24727425,22.90340317,25.34845135
France,"Computer, communications and other services (% of commercial service exports)",50.47713172,53.84711909,54.43208051,55.02088266,54.11765208,54.89624367,53.7854378,59.23892078,53.55307313,48.52512805
France,"Merchandise exports by the reporting economy, residual (% of total merchandise exports)",0.894068935,0.736449313,0.75872691,0.605321424,0.727811828,0.929891883,0.787204677,0.455771952,,
France,Merchandise exports to low- and middle-income economies in Latin America & the Caribbean (% of total merchandise exports),2.517248366,2.309479222,2.51195211,2.471349192,2.222382451,2.202887512,2.06883939,1.795115208,,
France,Merchandise exports to high-income economies (% of total merchandise exports),79.09028775,79.71721996,79.43449499,80.44915954,80.33933635,80.87589832,81.51271718,81.90341709,,
France,Manufactures exports (% of merchandise exports),76.96208802,77.55056292,78.73232837,79.69801821,79.94721678,79.79421148,80.50345997,77.04671546,76.03853605,74.61175488
France,Food exports (% of merchandise exports),13.15144013,12.66848728,12.64473222,12.4319613,12.54577429,12.31209324,12.35119138,13.97074388,13.58006862,13.67946823
France,Medium and high-tech exports (% manufactured exports),65.2498302,65.20999634,66.43039766,66.99410906,66.06128436,65.87868014,66.53519826,65.32150616,,
France,Commercial service imports (current US$),2.28E+11,2.52E+11,2.33E+11,2.37E+11,2.47E+11,2.74E+11,2.67E+11,2.27E+11,2.62E+11,2.89E+11
France,Merchandise imports by the reporting economy (current US$),6.82E+11,6.77E+11,5.71E+11,5.68E+11,6.19E+11,6.76E+11,6.55E+11,5.83E+11,,
France,Merchandise imports from low- and middle-income economies in Middle East & North Africa (% of total merchandise imports),3.135776935,2.980638215,2.625065948,2.591931064,2.983326281,3.185567579,2.848544102,2.381211686,,
France,Merchandise imports from low- and middle-income economies outside region (% of total merchandise imports),18.19446458,18.0593313,17.27099986,16.20934838,16.90328985,17.75853719,17.64186888,17.65878229,,
France,Ores and metals imports (% of merchandise imports),2.550969394,2.503791595,2.395888723,2.147090798,2.34143573,2.446600245,2.3169728,2.194340104,2.665343931,2.46903051
France,Fuel imports (% of merchandise imports),16.60737892,14.71055211,10.67157584,8.397596584,9.819392015,11.2949556,10.34384153,6.891180803,10.00280125,18.799369
France,"Tariff rate, most favored nation, weighted mean, primary products (%)",2.4,2.58,2.61,3.21,3.05,2.62,2.72,2.18,,
France,"Tariff rate, applied, simple mean, primary products (%)",5.38,5.72,5.69,5.32,5.16,5.24,5.87,2.21,,
France,"Tariff rate, most favored nation, weighted mean, all products (%)",2.95,3.07,3.09,3.29,3.27,3.11,3.08,2.8,,
France,"Tariff rate, applied, simple mean, all products (%)",2.21,2.76,2.73,2.48,2.48,2.46,2.55,1.71,,
France,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",3.39,3.42,3.43,3.39,3.47,3.42,3.39,3.23,,
France,"Tariff rate, applied, simple mean, manufactured products (%)",1.47,2.07,2.03,1.75,1.87,1.81,1.79,1.6,,
France,Import volume index (2015 = 100),99.12443099,98.99179935,100,100.1785131,101.6571937,102.2033997,101.7047892,89.16288316,97.36127996,
France,"International tourism, expenditures for travel items (current US$)",42183000000,48777000000,39521000000,40436000000,44192000000,49464000000,50507000000,27758000000,,
France,"International tourism, receipts (% of total exports)",7.895720264,7.89710179,8.544974708,8.144358729,8.11275566,7.919585965,7.934388306,4.779677763,,
France,Completeness of birth registration (%),,100,,,100,,,,,100
France,"Completeness of birth registration, female (%)",,,,,,,100,,,
France,"Population, female",34069673,34233592,34359025,34452635,34554791,34680632,34801750,34900402,34998692,35105568
France,Population growth (annual %),0.516539661,0.468246342,0.35556924,0.263868789,0.290202116,0.358494582,0.341374143,0.271350508,0.263854757,0.274205279
France,Sex ratio at birth (male births per female births),1.049,1.047,1.048,1.049,1.049,1.051,1.047,1.047,1.048,
France,"Population ages 75-79, female (% of female population)",3.83690026,3.787572181,3.721269218,3.623990133,3.552939843,3.551846092,3.585290224,3.654062668,3.892300186,4.265750663
France,"Population ages 65 and above, total",11995907,12366153,12714090,13029325,13335680,13640015,13933362,14196384,14446427,14713791
France,"Population ages 65 and above, female",6950943,7138319,7313830,7471914,7626446,7781487,7932610,8071243,8206672,8346966
France,"Population ages 60-64, female (% of female population)",6.381059642,6.31353163,6.253285292,6.21470728,6.190286353,6.17673651,6.179360366,6.184790623,6.189815169,6.188919692
France,"Population ages 50-54, female (% of female population)",6.540396795,6.559657246,6.569829796,6.570980183,6.557353639,6.514179942,6.455575411,6.422851502,6.435895906,6.488945434
France,"Population ages 40-44, female (% of female population)",6.777885378,6.758797931,6.664387018,6.494014134,6.302504968,6.14794741,6.058947565,6.077747527,6.179334075,6.276962637
France,"Population ages 30-34, female (% of female population)",6.21270831,6.19384099,6.146902347,6.082038453,6.020825513,5.99060004,5.978825207,5.944794534,5.884566044,5.824280715
France,"Population ages 20-24, female (% of female population)",5.697148987,5.56316028,5.450118038,5.367313506,5.301156983,5.283296818,5.31676452,5.368200987,5.425026751,5.456153259
France,"Population ages 15-64, male",20706873,20655762,20600091,20548519,20511924,20496889,20488760,20484656,20496476,20492285
